,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
35875,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon®,2.8,4,4,1,16824102912,12355239936,4468862976,1370750976,15453351936,285945856,2739400704,471797760,3497144320,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.09375,0.296875,0.296875,0.296875,0.3875,0.25,136.0
21923,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.2,4,4,1,16824102912,12947136512,3876966400,1224200192,15599902720,317095936,2217926656,523026432,3058049024,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.415625,0.296875,0.296875,0.296875,0.8,0.775,722.0
48566,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon®,3.1,4,4,1,16824107008,9477672960,7346434048,1457889280,15366217728,349274112,4758560768,1268051968,6375886848,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.80625,0.80625,0.63125,0.6875,0.575,0.58125,16728.0
19477,montage,0.25,mAdd,4,22,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,2,1,1,8257200128,6390534144,1866665984,661868544,7595331584,2768896,1375711232,174505984,1552986112,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.025,0.296875,0.296875,0.296875,0.10625,0.1,402.0
81448,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon®,3.1,4,4,1,16824107008,8042254336,8781852672,1078059008,15746048000,180211712,7389241344,537354240,8106807296,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.09375,0.296875,0.296875,0.296875,0.59375,0.33125,127.0
15932,montage,2.0,mAdd,4,616,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,30198341632,3160674304,1395445760,31963570176,2768896,1635147776,788004864,2425921536,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.8625,0.90625,0.825,0.83125,0.95,0.96875,13888.0
12981,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,8,8,1,33359015936,27940315136,5418700800,1393569792,31965446144,2768896,3593093120,1021378560,4617240576,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.415625,0.296875,0.296875,0.296875,0.875,0.8625,491.0
27128,montage,0.25,mAdd,4,22,2,mAdd,AMD,EPYC 7B12,2.25,4,2,1,16824102912,13130088448,3694014464,1297698816,15526404096,309559296,1981358080,515100672,2806018048,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.53125,0.296875,0.296875,0.296875,0.08125,0.075,258.0
2501,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,8,8,1,33359015936,26952368128,6406647808,2283913216,31075102720,2768896,2650775552,2301009920,4954554368,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.81875,0.81875,0.7125,0.675,0.65625,0.81875,14988.0
68310,montage,2.0,mAdd,4,616,2,mAdd,AMD,EPYC 7B12,2.25,4,2,1,16824102912,13283110912,3540992000,1362919424,15461183488,323108864,1654972416,618921984,2597003264,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.95625,0.98125,0.790625,0.80625,0.89375,0.9875,20450.0
39832,montage,0.25,mAdd,4,22,2,mAdd,AMD,EPYC 7B12,2.25,4,2,1,16824102912,14232051712,2592051200,1091284992,15732817920,70762496,1592090624,250585088,1913438208,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.53125,0.296875,0.296875,0.296875,0.0875,0.08125,212.0
80760,montage,0.25,mAdd,4,22,2,mAdd,Intel®,Xeon®,2.0,2,1,1,4140863488,1917853696,2223009792,847630336,3293233152,69439488,1417641984,198406144,1685487616,0,0,0,9.71,2.4275,110.0,22335336000,5583834000.0,0.56875,0.296875,0.296875,0.296875,0.125,0.11875,343.0
20838,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,3.1,4,4,1,16824090624,4979130368,11844960256,1356374016,15467716608,295522304,9829445632,774111232,10899079168,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.415625,0.296875,0.296875,0.296875,0.7,0.625,439.0
27557,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,4979294208,3277905920,1018281984,7238918144,2768896,2132545536,606294016,2741608448,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.09375,0.296875,0.296875,0.296875,0.45,0.28125,182.0
28158,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.2,4,4,1,15767138304,12040597504,3726540800,1127591936,14639546368,245395456,2322595840,428765184,2996756480,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,0.415625,0.296875,0.296875,0.296875,0.8375,0.8125,780.0
67774,montage2,0.01,mAdd,4,6,2,mAdd,AMD,EPYC 7B12,2.25,4,4,1,16824102912,13228400640,3595702272,1177378816,15646724096,274644992,2118807552,419422208,2812874752,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.240625,0.296875,0.296875,0.296875,0.86875,0.85,160.0
55294,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon®,2.8,4,4,1,16824102912,12775055360,4049047552,1387065344,15437037568,271142912,2357927936,440881152,3069952000,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.240625,0.296875,0.296875,0.296875,0.78125,0.75625,275.0
80456,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.2,4,4,1,16824102912,11148136448,5675966464,1179635712,15644467200,301924352,3999129600,597970944,4899024896,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.415625,0.296875,0.296875,0.296875,0.45625,0.2875,769.0
3959,montage2,1.0,mAdd,4,436,2,mAdd,AMD,EPYC 7B12,2.25,4,4,1,16824102912,12692193280,4131909632,1367965696,15456137216,330919936,2068557824,825950208,3225427968,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.96875,0.9,0.6125,0.6125,0.3375,0.659375,241894.0
13599,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,8,8,1,33359015936,27960381440,5398634496,1350787072,32008228864,2768896,3809173504,815251456,4627193856,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.415625,0.296875,0.296875,0.296875,0.83125,0.80625,569.0
62944,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon®,2.2,4,4,1,16824102912,10032627712,6791475200,1266888704,15557214208,292421632,5076271104,564703232,5933395968,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.7625,0.75,0.875,0.975,0.65,0.71875,9266.0
36232,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.8,4,4,1,16824102912,11173715968,5650386944,1205907456,15618195456,290029568,3984740352,579231744,4854001664,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.415625,0.296875,0.296875,0.296875,0.621875,0.378125,496.0
55274,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon®,2.2,4,4,1,15767138304,11781857280,3985281024,1374502912,14392635392,279863296,2238873600,449982464,2968719360,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.240625,0.296875,0.296875,0.296875,0.725,0.68125,215.0
8427,montage,0.25,mAdd,4,22,2,mAdd,Intel®,Xeon®,3.1,4,2,1,16824090624,8958291968,7865798656,1073217536,15750873088,123416576,6575489024,490921984,7189827584,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.56875,0.296875,0.296875,0.296875,0.18125,0.175,163.0
14056,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,8,8,1,33359015936,29496406016,3862609920,1337253888,32021762048,2768896,2367004672,740671488,3110445056,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.415625,0.296875,0.296875,0.296875,0.29375,0.21875,704.0
23392,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,2364125184,5893074944,1597919232,6659280896,2768896,3659644928,1017319424,4679733248,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.79375,0.79375,0.75,0.7375,0.4,0.50625,12469.0
69290,montage,0.25,mAdd,4,22,2,mAdd,Intel®,Xeon®,2.2,4,2,1,15767138304,13592604672,2174533632,1019064320,14748073984,61825024,1258340352,216719360,1536884736,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,0.53125,0.296875,0.296875,0.296875,0.09375,0.0875,232.0
67723,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon®,2.2,4,4,1,15767138304,12290068480,3477069824,1122398208,14644740096,215982080,2148843520,378355712,2743181312,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,0.240625,0.296875,0.296875,0.296875,0.85,0.83125,179.0
14675,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,2,2,1,8257200128,4789194752,3468005376,964046848,7293153280,2768896,2420088832,546230272,2969088000,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.146875,0.296875,0.296875,0.296875,0.85625,0.8375,668.0
11353,montage,0.25,mAdd,4,22,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,2,1,1,8257200128,5569966080,2687234048,1078714368,7178485760,2768896,1355915264,535056384,1893740544,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.025,0.296875,0.296875,0.296875,0.06875,0.0625,277.0
4919,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,8,8,1,33359015936,29422940160,3936075776,1306533888,32052482048,2768896,2337845248,872214528,3212828672,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.09375,0.296875,0.296875,0.296875,0.0625,0.05625,292.0
37929,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon®,3.1,4,4,1,16824107008,13994020864,2830086144,1073057792,15751049216,62910464,1844813824,246439936,2154164224,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.240625,0.296875,0.296875,0.296875,0.6,0.3375,110.0
73321,montage,1.0,mAdd,4,202,2,mAdd,Intel®,Xeon®,2.2,4,2,1,15767138304,13198307328,2568830976,1047449600,14719688704,113893376,1514520576,289349632,1917763584,0,0,0,23.520000000000003,3.92,110.0,77133096000,12855516000.0,0.6125,0.6125,0.8625,0.84375,0.2625,0.35,3891.0
14218,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,3593715712,4663484416,960946176,7296253952,2768896,3606265856,561999872,4171034624,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.025,0.296875,0.296875,0.296875,0.2875,0.2125,773.0
50360,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon®,3.1,4,4,1,16824107008,7473635328,9350471680,1391992832,15432114176,338112512,7095934976,963506176,8397553664,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.73125,0.71875,0.98125,0.925,0.40625,0.4625,6281.0
80227,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.2,4,4,1,16824102912,10894241792,5929861120,1182343168,15641759744,301588480,4248342528,600817664,5150748672,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.415625,0.296875,0.296875,0.296875,0.425,0.2625,794.0
80683,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.2,4,4,1,16824102912,7467175936,9356926976,1232330752,15591772160,304066560,7544328192,687022080,8535416832,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.415625,0.296875,0.296875,0.296875,0.6125,0.36875,783.0
54764,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,3.1,4,4,1,16824107008,7864250368,8959856640,1282428928,15541678080,329699328,7022309376,732717056,8084725760,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.415625,0.296875,0.296875,0.296875,0.48125,0.3,490.0
